8685,268.00,677.00,818.00,959.00,1100.00
10000,294.30,677.00,818.00,959.00,1100.00
34000,409.00,677.00,818.00,959.00,1100.00
35000,402.60,670.60,811.60,952.60,1093.60
36000,352.60,620.60,761.60,902.60,1043.60
37000,302.60,570.60,711.60,852.60,993.60
38000,252.60,520.60,661.60,802.60,943.60
39000,202.60,470.60,611.60,752.60,893.60
40000,152.60,420.60,561.60,702.60,843.60
42000,52.60,320.60,461.60,602.60,743.60
44000,0.00,220.60,361.60,502.60,643.60
46000,0.00,120.60,261.60,402.60,543.60
48000,0.00,20.60,161.60,302.60,443.60
50000,0.00,0.00,61.60,202.60,343.60
52000,0.00,0.00,0.00,102.60,243.60
54000,0.00,0.00,0.00,2.60,143.60
56000,0.00,0.00,0.00,0.00,43.60
58000,0.00,0.00,0.00,0.00,0.00
